,Model0,Model1,Model2,Model3,Model4,Model5,Model6,Model7,Model8,Model9
0,-87.97499743,1.33E+24,-115.4454384,-577.9960796,-73.4913375,20.49959042,-1.61E+49,-22.80952006,-306.4966825,-116.2735963
1,-148.059745,-1.61E+26,-43.72111698,-86.67958554,-157.5296507,-87.30053835,-2.56E+48,-3.27566617,88.70679442,-13.87022769
2,-24.54212619,-2.70E+26,-39.27725594,-65.21839109,-35.51962868,24.40790665,-3.61E+46,-29.81079067,6.045927425,214.492259
3,38.00767158,-5.25E+25,-79.71855825,-398.73494,124.2073756,23.10039605,3.86E+49,-2.125385686,53.85141386,-46.91160954
4,264.2729586,3.48E+28,-46.06197468,-719.1835488,28.03774065,44.39356282,4.75E+48,1.478790254,87.98801194,-38.54542073
5,-25.96917468,2.25E+25,-170.3610519,44.34007471,-123.8128913,-68.6369155,-2.84E+51,15.20220457,37.47816327,-92.6503683
6,-50.92789834,1.13E+27,31.30535514,-323.5993944,-87.31737337,280.090399,-2.51E+49,7.2800213,-9.652273741,33.4095325
7,-12.47007142,3.63E+23,-74.71563642,-276.8133718,64.67248386,-72.7408476,-2.35E+47,5.540954362,135.8047387,71.26015643
8,7.786996321,1.61E+26,30.4253153,-972.6925308,-119.2339561,93.72439916,-2.65E+48,12.86007118,11.17380783,-4.19055047
9,-506.9496295,-7.56E+22,34.33113238,48.75292955,69.47327625,71.11597098,-4.33E+48,60.37474681,31.49404439,28.66992421
10,182.5312614,2.92E+24,3.501632842,-207.8963848,23.47637266,172.0385547,-7.39E+48,5.04561671,41.97545691,-57.71326359
11,66.09232464,-1.31E+26,-48.04305067,121.1625077,-13.10914123,-247.9194979,-6.46E+49,-49.95263135,-95.29179363,5.303160408
12,-114.8610472,-8.85E+25,111.0278188,-172.2339017,-124.9532002,-19.44873628,-7.06E+49,48.22669004,-13.21820909,68.8630964
13,-130.7656433,-1.59E+24,4.897908908,-133.2464254,23.45186822,-46.5129874,1.03E+53,-13.40337166,-27.96260082,-26.37006376
14,1.424655819,2.43E+26,-26.22371244,369.7358774,4.307325563,10.43351974,1.10E+47,17.69890231,-69.34021129,39.5798905
15,-127.3661893,-2.64E+25,82.31520695,-1454.242882,41.87383172,73.68210068,-1.04E+50,-14.26665015,-71.99260859,26.46120779
16,11.08997045,6.10E+25,-69.87096635,94.95989294,21.94791112,-82.66763469,-5.54E+48,-3.042038132,-3.105872046,73.86550374
17,-28.92459143,-1.82E+27,89.34731713,-85.2882749,-81.56221062,-127.4538673,4.44E+50,19.55696519,-15.93807903,68.23967173
18,-30.04170445,8.84E+24,75.71065272,-81.81209575,-8.051829405,75.36511107,-8.00E+50,10.01535946,41.2877724,-30.33076927
19,-388.0973544,1.75E+25,1.675312163,-87.45738352,57.69351161,83.69481624,-4.86E+52,-13.40950033,22.51074875,35.19628642
20,-215.9842807,3.43E+26,10.59835037,-3.675359808,177.4360775,-34.16068839,-1.23E+50,-36.23586325,4.890492217,-46.93371477
21,-47.47611331,9.09E+23,-32.59740308,113.6186146,68.18302087,-50.65481209,1.79E+50,2.907366101,-10.26239347,-96.75152499
22,145.5937934,3.91E+23,-10.90973929,-39.23694177,29.96736903,-92.54105649,-5.89E+52,58.56260636,-23.1856214,40.59133916
23,-109.2820488,-5.74E+23,-104.090748,-26.19621628,138.9443001,65.88708054,3.68E+46,-18.42704336,10.83624162,11.85704414
24,123.72237,-2.99E+26,50.98516884,37.92471869,84.164099,109.2982396,-1.69E+52,69.62388296,22.81506804,38.72984648
25,242.6833767,1.12E+24,31.60530067,49.81990648,50.72249211,-129.7197357,-1.31E+46,-8.918670074,56.72720015,-45.99702028
26,-210.1357422,-1.30E+27,-40.54156002,4.6133386,-14.26253311,122.9747891,2.32E+49,73.81990776,-8.838898281,-34.41246293
27,-43.90180968,-1.32E+24,-60.53462501,-6.729094956,61.26187973,4.319367605,-1.29E+52,1.844590177,-40.65448146,6.979715498
28,-235.5711012,1.03E+24,16.6511741,-480.1700125,-60.35903643,139.873519,2.52E+51,25.73945976,29.15533908,8.177853184
29,-342.3647142,3.31E+21,7.56389603,110.3970538,-21.38232798,28.72108713,-2.55E+48,-37.41744011,41.02221809,-71.43110846
30,-17.96768701,-8.98E+26,-14.07039792,-116.888564,0.447403422,-132.4307283,-1.15E+46,-20.28901659,-18.77315009,-75.44048185
31,98.52817081,-7.45E+25,44.2919111,-3.054914028,17.43930332,-131.1734814,1.45E+49,19.87375002,17.17117942,5.955094451
